origin_id,destination_id,origin,destination,origin_station,destination_station
2,13,SFIA,12TH,San Francisco International Airport,12th Street Oakland
2,14,SFIA,LAKE,San Francisco International Airport,Lake Merritt
2,15,SFIA,FTVL,San Francisco International Airport,Fruitvale
2,16,SFIA,COLS,San Francisco International Airport,Coliseum
2,17,SFIA,SANL,San Francisco International Airport,San Leandro
2,18,SFIA,BAYF,San Francisco International Airport,Bay Fair
2,19,SFIA,HAYW,San Francisco International Airport,Hayward
2,20,SFIA,SHAY,San Francisco International Airport,South Hayward
2,21,SFIA,UCTY,San Francisco International Airport,Union City
2,22,SFIA,FRMT,San Francisco International Airport,Fremont
2,23,SFIA,CAST,San Francisco International Airport,Castro Valley
2,24,SFIA,DUBL,San Francisco International Airport,Dublin/Pleasanton
2,25,SFIA,PITT,San Francisco International Airport,Pittsburg/Bay Point
2,26,SFIA,NCON,San Francisco International Airport,North Concord/Martinez
2,27,SFIA,COLM,San Francisco International Airport,Colma
2,28,SFIA,CONC,San Francisco International Airport,Concord
2,29,SFIA,PHIL,San Francisco International Airport,Pleasant Hill
2,30,SFIA,WCRK,San Francisco International Airport,Walnut Creek
2,31,SFIA,LAFY,San Francisco International Airport,Lafayette
2,32,SFIA,ORIN,San Francisco International Airport,Orinda
2,33,SFIA,ROCK,San Francisco International Airport,Rockridge
2,34,SFIA,WOAK,San Francisco International Airport,West Oakland
2,35,SFIA,EMBR,San Francisco International Airport,Embarcadero
2,36,SFIA,MONT,San Francisco International Airport,Montgomery Street
2,37,SFIA,POWL,San Francisco International Airport,Powell Street
2,38,SFIA,CIVC,San Francisco International Airport,Civic Center
2,39,SFIA,16TH,San Francisco International Airport,16th Street Mission
2,40,SFIA,24TH,San Francisco International Airport,24th Street Mission
2,41,SFIA,GLEN,San Francisco International Airport,Glen Park
2,42,SFIA,BALB,San Francisco International Airport,Balboa Park
2,43,SFIA,DALY,San Francisco International Airport,Daly City
2,44,SFIA,OAKL,San Francisco International Airport,Oakland City Center/12th St
2,45,SFIA,WARM,San Francisco International Airport,Warm Springs/South Fremont
2,46,SFIA,MLPT,San Francisco International Airport,Milpitas
2,47,SFIA,BERY,San Francisco International Airport,Berryessa/North San Jose
2,48,SFIA,PCTR,San Francisco International Airport,Pittsburg Center
2,49,SFIA,ANTC,San Francisco International Airport,Antioch
3,0,MLBR,SSAN,Millbrae,South San Francisco
3,1,MLBR,SBRN,Millbrae,San Bruno
3,2,MLBR,SFIA,Millbrae,San Francisco International Airport
3,3,MLBR,MLBR,Millbrae,Millbrae
3,4,MLBR,WDUB,Millbrae,West Dublin/Pleasanton
3,5,MLBR,RICH,Millbrae,Richmond
3,6,MLBR,DELN,Millbrae,Del Norte
3,7,MLBR,PLZA,Millbrae,El Cerrito Plaza
3,8,MLBR,NBRK,Millbrae,North Berkeley
3,9,MLBR,DBRK,Millbrae,Downtown Berkeley
3,10,MLBR,ASHB,Millbrae,Ashby
3,11,MLBR,MCAR,Millbrae,MacArthur
3,12,MLBR,19TH,Millbrae,19th Street Oakland
3,13,MLBR,12TH,Millbrae,12th Street Oakland
3,14,MLBR,LAKE,Millbrae,Lake Merritt
3,15,MLBR,FTVL,Millbrae,Fruitvale
3,16,MLBR,COLS,Millbrae,Coliseum
3,17,MLBR,SANL,Millbrae,San Leandro
3,18,MLBR,BAYF,Millbrae,Bay Fair
3,19,MLBR,HAYW,Millbrae,Hayward
3,20,MLBR,SHAY,Millbrae,South Hayward
3,21,MLBR,UCTY,Millbrae,Union City
3,22,MLBR,FRMT,Millbrae,Fremont
3,23,MLBR,CAST,Millbrae,Castro Valley
3,24,MLBR,DUBL,Millbrae,Dublin/Pleasanton
3,25,MLBR,PITT,Millbrae,Pittsburg/Bay Point
3,26,MLBR,NCON,Millbrae,North Concord/Martinez
3,27,MLBR,COLM,Millbrae,Colma
3,28,MLBR,CONC,Millbrae,Concord
3,29,MLBR,PHIL,Millbrae,Pleasant Hill
3,30,MLBR,WCRK,Millbrae,Walnut Creek
3,31,MLBR,LAFY,Millbrae,Lafayette
3,32,MLBR,ORIN,Millbrae,Orinda
3,33,MLBR,ROCK,Millbrae,Rockridge
3,34,MLBR,WOAK,Millbrae,West Oakland
3,35,MLBR,EMBR,Millbrae,Embarcadero
3,36,MLBR,MONT,Millbrae,Montgomery Street
3,37,MLBR,POWL,Millbrae,Powell Street
3,38,MLBR,CIVC,Millbrae,Civic Center
3,39,MLBR,16TH,Millbrae,16th Street Mission
3,40,MLBR,24TH,Millbrae,24th Street Mission
3,41,MLBR,GLEN,Millbrae,Glen Park
3,42,MLBR,BALB,Millbrae,Balboa Park
3,43,MLBR,DALY,Millbrae,Daly City
3,44,MLBR,OAKL,Millbrae,Oakland City Center/12th St
3,45,MLBR,WARM,Millbrae,Warm Springs/South Fremont
3,46,MLBR,MLPT,Millbrae,Milpitas
3,47,MLBR,BERY,Millbrae,Berryessa/North San Jose
3,48,MLBR,PCTR,Millbrae,Pittsburg Center
3,49,MLBR,ANTC,Millbrae,Antioch
4,0,WDUB,SSAN,West Dublin/Pleasanton,South San Francisco
4,1,WDUB,SBRN,West Dublin/Pleasanton,San Bruno
4,2,WDUB,SFIA,West Dublin/Pleasanton,San Francisco International Airport
4,3,WDUB,MLBR,West Dublin/Pleasanton,Millbrae
4,4,WDUB,WDUB,West Dublin/Pleasanton,West Dublin/Pleasanton
4,5,WDUB,RICH,West Dublin/Pleasanton,Richmond
4,6,WDUB,DELN,West Dublin/Pleasanton,Del Norte
4,7,WDUB,PLZA,West Dublin/Pleasanton,El Cerrito Plaza
4,8,WDUB,NBRK,West Dublin/Pleasanton,North Berkeley
4,9,WDUB,DBRK,West Dublin/Pleasanton,Downtown Berkeley
4,10,WDUB,ASHB,West Dublin/Pleasanton,Ashby
4,11,WDUB,MCAR,West Dublin/Pleasanton,MacArthur
4,12,WDUB,19TH,West Dublin/Pleasanton,19th Street Oakland
4,13,WDUB,12TH,West Dublin/Pleasanton,12th Street Oakland
4,14,WDUB,LAKE,West Dublin/Pleasanton,Lake Merritt
4,15,WDUB,FTVL,West Dublin/Pleasanton,Fruitvale
4,16,WDUB,COLS,West Dublin/Pleasanton,Coliseum
4,17,WDUB,SANL,West Dublin/Pleasanton,San Leandro
4,18,WDUB,BAYF,West Dublin/Pleasanton,Bay Fair
4,19,WDUB,HAYW,West Dublin/Pleasanton,Hayward
4,20,WDUB,SHAY,West Dublin/Pleasanton,South Hayward
4,21,WDUB,UCTY,West Dublin/Pleasanton,Union City
4,22,WDUB,FRMT,West Dublin/Pleasanton,Fremont
4,23,WDUB,CAST,West Dublin/Pleasanton,Castro Valley
4,24,WDUB,DUBL,West Dublin/Pleasanton,Dublin/Pleasanton
4,25,WDUB,PITT,West Dublin/Pleasanton,Pittsburg/Bay Point
4,26,WDUB,NCON,West Dublin/Pleasanton,North Concord/Martinez
4,27,WDUB,COLM,West Dublin/Pleasanton,Colma
4,28,WDUB,CONC,West Dublin/Pleasanton,Concord
4,29,WDUB,PHIL,West Dublin/Pleasanton,Pleasant Hill
4,30,WDUB,WCRK,West Dublin/Pleasanton,Walnut Creek
4,31,WDUB,LAFY,West Dublin/Pleasanton,Lafayette
4,32,WDUB,ORIN,West Dublin/Pleasanton,Orinda
4,33,WDUB,ROCK,West Dublin/Pleasanton,Rockridge
4,34,WDUB,WOAK,West Dublin/Pleasanton,West Oakland
4,35,WDUB,EMBR,West Dublin/Pleasanton,Embarcadero
4,36,WDUB,MONT,West Dublin/Pleasanton,Montgomery Street
4,37,WDUB,POWL,West Dublin/Pleasanton,Powell Street
4,38,WDUB,CIVC,West Dublin/Pleasanton,Civic Center
4,39,WDUB,16TH,West Dublin/Pleasanton,16th Street Mission
4,40,WDUB,24TH,West Dublin/Pleasanton,24th Street Mission
4,41,WDUB,GLEN,West Dublin/Pleasanton,Glen Park
4,42,WDUB,BALB,West Dublin/Pleasanton,Balboa Park
4,43,WDUB,DALY,West Dublin/Pleasanton,Daly City
4,44,WDUB,OAKL,West Dublin/Pleasanton,Oakland City Center/12th St
4,45,WDUB,WARM,West Dublin/Pleasanton,Warm Springs/South Fremont
4,46,WDUB,MLPT,West Dublin/Pleasanton,Milpitas
4,47,WDUB,BERY,West Dublin/Pleasanton,Berryessa/North San Jose
4,48,WDUB,PCTR,West Dublin/Pleasanton,Pittsburg Center
4,49,WDUB,ANTC,West Dublin/Pleasanton,Antioch
5,0,RICH,SSAN,Richmond,South San Francisco
5,1,RICH,SBRN,Richmond,San Bruno
5,2,RICH,SFIA,Richmond,San Francisco International Airport
5,3,RICH,MLBR,Richmond,Millbrae
5,4,RICH,WDUB,Richmond,West Dublin/Pleasanton
5,5,RICH,RICH,Richmond,Richmond
5,6,RICH,DELN,Richmond,Del Norte
5,7,RICH,PLZA,Richmond,El Cerrito Plaza
5,8,RICH,NBRK,Richmond,North Berkeley
5,9,RICH,DBRK,Richmond,Downtown Berkeley
5,10,RICH,ASHB,Richmond,Ashby
5,11,RICH,MCAR,Richmond,MacArthur
5,12,RICH,19TH,Richmond,19th Street Oakland
5,13,RICH,12TH,Richmond,12th Street Oakland
5,14,RICH,LAKE,Richmond,Lake Merritt
5,15,RICH,FTVL,Richmond,Fruitvale
5,16,RICH,COLS,Richmond,Coliseum
5,17,RICH,SANL,Richmond,San Leandro
5,18,RICH,BAYF,Richmond,Bay Fair
5,19,RICH,HAYW,Richmond,Hayward
5,20,RICH,SHAY,Richmond,South Hayward
5,21,RICH,UCTY,Richmond,Union City
5,22,RICH,FRMT,Richmond,Fremont
5,23,RICH,CAST,Richmond,Castro Valley
5,24,RICH,DUBL,Richmond,Dublin/Pleasanton
5,25,RICH,PITT,Richmond,Pittsburg/Bay Point
5,26,RICH,NCON,Richmond,North Concord/Martinez
5,27,RICH,COLM,Richmond,Colma
5,28,RICH,CONC,Richmond,Concord
5,29,RICH,PHIL,Richmond,Pleasant Hill
5,30,RICH,WCRK,Richmond,Walnut Creek
5,31,RICH,LAFY,Richmond,Lafayette
5,32,RICH,ORIN,Richmond,Orinda
5,33,RICH,ROCK,Richmond,Rockridge
5,34,RICH,WOAK,Richmond,West Oakland
5,35,RICH,EMBR,Richmond,Embarcadero
5,36,RICH,MONT,Richmond,Montgomery Street
5,37,RICH,POWL,Richmond,Powell Street
5,38,RICH,CIVC,Richmond,Civic Center
5,39,RICH,16TH,Richmond,16th Street Mission
5,40,RICH,24TH,Richmond,24th Street Mission
5,41,RICH,GLEN,Richmond,Glen Park
5,42,RICH,BALB,Richmond,Balboa Park
5,43,RICH,DALY,Richmond,Daly City
5,44,RICH,OAKL,Richmond,Oakland City Center/12th St
5,45,RICH,WARM,Richmond,Warm Springs/South Fremont
5,46,RICH,MLPT,Richmond,Milpitas
5,47,RICH,BERY,Richmond,Berryessa/North San Jose
5,48,RICH,PCTR,Richmond,Pittsburg Center
5,49,RICH,ANTC,Richmond,Antioch
6,0,DELN,SSAN,Del Norte,South San Francisco
6,1,DELN,SBRN,Del Norte,San Bruno
6,2,DELN,SFIA,Del Norte,San Francisco International Airport
6,3,DELN,MLBR,Del Norte,Millbrae
6,4,DELN,WDUB,Del Norte,West Dublin/Pleasanton
6,5,DELN,RICH,Del Norte,Richmond
6,6,DELN,DELN,Del Norte,Del Norte
6,7,DELN,PLZA,Del Norte,El Cerrito Plaza
6,8,DELN,NBRK,Del Norte,North Berkeley
6,9,DELN,DBRK,Del Norte,Downtown Berkeley
6,10,DELN,ASHB,Del Norte,Ashby
6,11,DELN,MCAR,Del Norte,MacArthur
